,State,Population,Area,Density,Confirmed,Recovered,Deaths,Active,IFR,CFR,Deaths_per_M,Active_per_M,Age(65+),Main_workers,0,64days_Confrm_rate,64days_Reco_rate,64days_Death_rate
0,Uttar Pradesh,222191323,240928,921.0,588882.0,567964.0,8413.0,12505.0,0.08928995961839553,1.4596349264457118,37.86,56.28,26662958.759999998,77766963.05,27.,22.662795105836086,26.595697256622174,20.065648637077206
1,Maharashtra,124960258,307713,406.0,1947011.0,1847361.0,49695.0,48801.0,0.159523366842817,2.6195852942664843,397.69,390.53,14995230.959999999,43736090.3,15.,16.388300740409527,22.90748810751472,13.363445569851265
2,Bihar,115758590,94163,1225.0,254278.0,248640.0,1408.0,4229.0,0.034607791472325566,0.5630918863578193,12.16,36.53,13891030.799999999,40515506.5,4.,17.740919782926785,20.33393829401089,29.88929889298893
3,West Bengal,101499039,88752,1144.0,555572.0,536084.0,9817.0,9671.0,0.11043798103576134,1.7983114154397957,96.72,95.28,12179884.68,35524663.65,28.,50.288229263317916,64.49945993715632,44.70813679245283
4,Madhya Pradesh,80761011,308245,262.0,244647.0,232390.0,3648.0,8609.0,0.09319550209076752,1.5455138579381287,45.17,106.6,9691321.32,28266353.849999998,14.,43.32825590251333,46.65993499731785,24.031271244051666
6,Tamil Nadu,80227497,130051,617.0,821550.0,801414.0,12166.0,7970.0,0.09255370945164627,1.4953661594434475,151.64,99.34,9627299.639999999,28079623.95,29.,13.786355055532395,16.588302385261308,9.692543503741772
7,Rajasthan,76225861,342239,224.0,310278.0,299375.0,2714.0,8189.0,0.054668716441384824,0.8984107332607278,35.6,107.43,9147103.32,26679051.349999998,22.,58.943308078867695,68.12775181957049,42.99262381454162
8,Karnataka,67937970,191791,355.0,922538.0,900202.0,12110.0,10207.0,0.08204269092438468,1.3273967677724288,178.25,150.24,8152556.399999999,23778289.5,12.,12.450054729533715,20.068530332474815,8.70189288597829
9,Gujarat,67208937,196024,342.0,247926.0,234658.0,4321.0,8947.0,0.10892867226511137,1.8081086622673956,64.29,133.12,8065072.4399999995,23523127.95,7.,44.13573787265709,51.19196422818706,16.3479666038244
10,Andhra Pradesh,55129738,162968,337.0,883210.0,873149.0,7118.0,2943.0,0.050370240373184175,0.808618294222094,129.11,53.38,6615568.56,19295408.299999997,1.,7.634373876536289,10.75300459806564,6.620730976632714
11,Odisha,46675331,155707,299.0,330492.0,326507.0,1938.0,2047.0,0.03664990377981918,0.5900531291388208,41.52,43.86,5601039.72,16336365.85,20.,14.497342765879312,19.233634484622293,42.39529757531227
12,Telangana,38924085,112077,347.0,287740.0,281083.0,1551.0,5106.0,0.033689268089247236,0.5487662489297113,39.85,131.18,4670890.2,13623429.75,,13.0,24.0,38.0
13,Kerala,37147539,38863,955.0,778874.0,712389.0,3161.0,63131.0,0.025365142500584175,0.4417580881839145,85.09,1699.47,4457704.68,13001638.649999999,13.,83.21144704003312,113.93619609056157,116.80384087791495
14,Jharkhand,36682805,79714,460.0,115689.0,113125.0,1036.0,1528.0,0.05596902039087554,0.9074902987885529,28.24,41.65,4401936.6,12838981.75,11.,14.22251189982422,18.818796739769766,17.327293318233295
15,Assam,34700600,78438,443.0,216340.0,212196.0,1054.0,1740.0,0.030449755015253765,0.4942555685814772,30.37,50.14,4164072.0,12145210.0,3.,5.014253592536654,9.005727788765315,13.870967741935484
16,Punjab,30850591,50362,613.0,167441.0,158972.0,5400.0,3069.0,0.2015635358126146,3.2852310612513076,175.04,99.48,3702070.92,10797706.85,21.,25.74610612956037,27.3100024024986,28.970623358012897
17,Chhattisgarh,28406260,135191,210.0,283515.0,270337.0,3412.0,9766.0,0.07521647884591644,1.2463972471132314,120.11,343.8,3408751.1999999997,9942191.0,5.,32.7,48.876,101.111
18,Haryana,28190825,44212,637.0,263312.0,257652.0,2923.0,2737.0,0.0693806207085131,1.121749976014583,103.69,97.09,3382899.0,9866788.75,8.,59.13263671910411,69.68808862076688,64.49071468767585
19,Delhi,18668190,1484,12562.0,627256.0,611970.0,10597.0,4689.0,0.10558886642774241,1.7021461143941135,567.65,251.18,2240182.8,6533866.5,35.,64.35631111716678,78.51527518078476,63.78670788253478
20,Jammu and Kashmir,13640939,42241,330.0,121786.0,117211.0,1891.0,2684.0,0.09704522687336804,1.5877147319104632,138.63,196.76,1636912.68,4774328.649999999,10.,29.106328845542244,36.25383613875198,28.552005438477224
21,Uttarakhand,11215956,53483,210.0,92112.0,85400.0,1535.0,3966.0,0.1041530962306757,1.7656870075343647,136.86,353.6,1345914.72,3925584.5999999996,26.,48.77170314140354,50.42891617198922,51.82987141444114
22,Himachal Pradesh,7633437,55673,137.0,55808.0,53180.0,934.0,1646.0,0.10459969896788991,1.725985881657242,122.36,215.63,916012.44,2671702.9499999997,9.,158.64578022894747,187.18544119235338,205.22875816993462
24,Tripura,4085395,10486,389.0,33280.0,32792.0,382.0,83.0,0.07173978365384616,1.1515041900283356,93.5,20.32,490247.39999999997,1429888.25,30.,8.545335942596216,14.202131364491189,11.370262390670554
25,Meghalaya,3299180,22429,147.0,13482.0,13204.0,139.0,139.0,0.06443776887702121,1.0417447350670763,42.13,42.13,395901.6,1154713.0,17.,43.92543389757874,63.59879789631856,59.77011494252874
26,Manipur,2858273,22327,136.0,28332.0,26862.0,361.0,1109.0,0.07963610052237753,1.326084560849282,126.3,388.0,342992.76,1000395.5499999999,16.,55.0569176882662,94.58167330677291,120.1219512195122
27,Nagaland,2200094,16579,132.0,11935.0,11551.0,79.0,173.0,0.04136992040217847,0.6792777300085985,35.91,78.63,264011.27999999997,770032.8999999999,19.,33.56533453075887,59.78696915202656,121.21212121212122
28,Goa,1621902,3702,438.0,51335.0,49741.0,743.0,851.0,0.09045972533359306,1.471753426828302,458.1,524.69,194628.24,567665.7,6.,18.23981942141146,23.09386522804326,23.421926910299003
29,Arunachal Pradesh,1538704,83743,19.0,16741.0,16598.0,56.0,87.0,0.02090675586882504,0.3362555542212081,36.39,56.54,184644.47999999998,538546.4,2.,13.482917570498914,29.90529858339203,51.35135135135135
30,Puducherry,1387723,479,2889.0,38253.0,37261.0,635.0,357.0,0.10375003267717564,1.6756385898247836,457.58,257.26,166526.75999999998,485703.05,37.,9.58178172443426,21.85956764888642,7.263513513513513
31,Mizoram,1220093,21081,58.0,4223.0,4147.0,8.0,68.0,0.011839924224484964,0.1925391095066185,6.56,55.73,146411.16,427032.55,18.,56.75575352635486,82.68722466960352,700.0
32,Chandigarh,1173660,114,10288.0,19936.0,19348.0,321.0,267.0,0.1006345304975923,1.6320097615537141,273.5,227.49,140839.19999999998,410781.0,32.,38.91714863075744,43.648377756329346,42.66666666666667
33,Sikkim,678961,7096,96.0,5921.0,5212.0,129.0,485.0,0.13616787704779598,2.415278037820633,190.0,714.33,81475.31999999999,237636.34999999998,23.,51.17167600611309,48.51851851851852,92.53731343283582
34,Dadra and Nagar Haveli and Daman and Diu,651369,603,1079.0,3365.0,3324.0,2.0,10.0,0.003714710252600297,0.06013229104028864,3.07,15.35,78164.28,227979.15,33.,3.669441874807277,4.950809266899396,0.0
35,Andaman and Nicobar Islands,423206,8249,51.0,4948.0,4846.0,62.0,40.0,0.07831447049312854,1.263243683781581,146.5,94.52,50784.72,148122.09999999998,31.,14.630187804312545,18.9328743545611,5.084745762711865
36,Ladakh,304688,96701,3.0,9556.0,9172.0,127.0,257.0,0.08306299706990372,1.3657382514248844,416.82,843.49,36562.56,106640.79999999999,36.,54.278333871488535,66.97615146550154,71.62162162162163
